net.vn.			43200	IN	SOA	dns-master.vnnic.vn. postmaster.vnnic.vn. 2017729539 3600 1800 604800 5400
net.vn.			43200	IN	NS	a.dns-servers.vn.
net.vn.			43200	IN	NS	b.dns-servers.vn.
net.vn.			43200	IN	NS	c.dns-servers.vn.
net.vn.			43200	IN	NS	d.dns-servers.vn.
net.vn.			43200	IN	NS	e.dns-servers.vn.
net.vn.			43200	IN	NS	f.dns-servers.vn.
net.vn.			43200	IN	NS	g.dns-servers.vn.
01.net.vn.		43200	IN	NS	lily.ns.cloudflare.com.
01.net.vn.		43200	IN	NS	pete.ns.cloudflare.com.
1.net.vn.		43200	IN	NS	ns11.onebol.com.
1.net.vn.		43200	IN	NS	ns12.onebol.com.
1079.net.vn.		43200	IN	NS	ns1.matbao.vn.
1079.net.vn.		43200	IN	NS	ns2.matbao.vn.
1080.net.vn.		43200	IN	NS	ns1.matbao.vn.
1080.net.vn.		43200	IN	NS	ns2.matbao.vn.
1088.net.vn.		43200	IN	NS	vdc-hn01.vnn.vn.
1088.net.vn.		43200	IN	NS	hcm-server1.vnn.vn.
10mien.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
10mien.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
10mien.net.vn.		43200	IN	NS	nsbak.pavietnam.vn.
1102.net.vn.		43200	IN	NS	ns1.matbao.vn.
1102.net.vn.		43200	IN	NS	ns2.matbao.vn.
123.net.vn.		43200	IN	NS	ns1.datasys.vn.
123.net.vn.		43200	IN	NS	ns2.datasys.vn.
123cs.net.vn.		43200	IN	NS	ns1.sonthuy.com.vn.
123cs.net.vn.		43200	IN	NS	ns2.sonthuy.com.vn.
123film.net.vn.		43200	IN	NS	ns1.sonthuy.com.vn.
123film.net.vn.		43200	IN	NS	ns2.sonthuy.com.vn.
123tienich.net.vn.	43200	IN	NS	ns1.sonthuy.com.vn.
123tienich.net.vn.	43200	IN	NS	ns2.sonthuy.com.vn.
123vietnam.net.vn.	43200	IN	NS	ns1.netnam.vn.
123vietnam.net.vn.	43200	IN	NS	ns2.netnam.vn.
12choi.net.vn.		43200	IN	NS	ns1.matbao.vn.
12choi.net.vn.		43200	IN	NS	ns2.matbao.vn.
1618play.net.vn.	43200	IN	NS	ns1.dns.net.vn.
1618play.net.vn.	43200	IN	NS	ns2.dns.net.vn.
168.net.vn.		43200	IN	NS	ns1.matbao.vn.
168.net.vn.		43200	IN	NS	ns2.matbao.vn.
18001166.net.vn.	43200	IN	NS	ns1.pavietnam.vn.
18001166.net.vn.	43200	IN	NS	ns2.pavietnam.vn.
18001166.net.vn.	43200	IN	NS	nsbak.pavietnam.net.
190.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
190.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
190.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
1a.net.vn.		43200	IN	NS	ns4.tenten.vn.
1a.net.vn.		43200	IN	NS	ns5.tenten.vn.
1a.net.vn.		43200	IN	NS	ns6.tenten.vn.
1to3.net.vn.		43200	IN	NS	ns1.netnam.vn.
1to3.net.vn.		43200	IN	NS	ns2.netnam.vn.
1to3vietnam.net.vn.	43200	IN	NS	ns1.netnam.vn.
1to3vietnam.net.vn.	43200	IN	NS	ns2.netnam.vn.
1two3.net.vn.		43200	IN	NS	ns1.netnam.vn.
1two3.net.vn.		43200	IN	NS	ns2.netnam.vn.
2030.net.vn.		43200	IN	NS	ns1.matbao.vn.
2030.net.vn.		43200	IN	NS	ns2.matbao.vn.
247.net.vn.		43200	IN	NS	ns1.everydns.net.
247.net.vn.		43200	IN	NS	ns2.everydns.net.
247.net.vn.		43200	IN	NS	ns3.everydns.net.
24gio.net.vn.		43200	IN	NS	ns1.matbao.vn.
24gio.net.vn.		43200	IN	NS	ns2.matbao.vn.
24h.net.vn.		43200	IN	NS	ns1.inet.vn.
24h.net.vn.		43200	IN	NS	ns2.inet.vn.
24hmuasam.net.vn.	43200	IN	NS	ns1.webbnc.vn.
24hmuasam.net.vn.	43200	IN	NS	ns2.webbnc.vn.
24hstore.net.vn.	43200	IN	NS	ns1.kdata.vn.
24hstore.net.vn.	43200	IN	NS	ns2.kdata.vn.
2saigon.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
2saigon.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
2saigon.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
2sao.net.vn.		43200	IN	NS	ns1.matbao.vn.
2sao.net.vn.		43200	IN	NS	ns2.matbao.vn.
2vietnam.net.vn.	43200	IN	NS	ns1.netnam.vn.
2vietnam.net.vn.	43200	IN	NS	ns2.netnam.vn.
2vietravel.net.vn.	43200	IN	NS	ns1.netnam.vn.
2vietravel.net.vn.	43200	IN	NS	ns2.netnam.vn.
2viettravel.net.vn.	43200	IN	NS	ns1.netnam.vn.
2viettravel.net.vn.	43200	IN	NS	ns2.netnam.vn.
360buy.net.vn.		43200	IN	NS	ns6.east.net.
360buy.net.vn.		43200	IN	NS	ns7.east.net.
360game.net.vn.		43200	IN	NS	ns1.sonthuy.com.vn.
360game.net.vn.		43200	IN	NS	ns2.sonthuy.com.vn.
360games.net.vn.	43200	IN	NS	ns1.sonthuy.com.vn.
